time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
112989,9,0.08,0.02,-0.00,-0.000,-0.066,0.996,-4.16,2.33,0.00,0.00,4.16,-2.33,0.00,14.58,-8.15,14.50,-8.18,0.00,0.54,-0.34,-0.34,1000,1000,1000,1000,1050,1500,1508,11183,809
113001,9,-0.04,0.08,-0.00,0.003,-0.069,1.001,-4.13,2.37,0.00,1.98,4.13,-0.39,0.00,14.45,-1.38,14.49,-1.46,0.00,0.59,-0.09,-0.33,1000,1000,1000,1000,1019,1500,1522,11183,809
113012,9,-0.04,0.09,0.00,0.003,-0.070,1.000,-4.17,2.37,0.00,1.98,4.17,-0.39,0.00,14.61,-1.35,14.65,-1.44,0.00,0.60,-0.08,-0.50,1000,1000,1000,1000,1019,1500,1522,11183,809
113024,9,0.08,-0.03,-0.06,0.003,-0.072,0.998,-4.21,2.40,0.00,1.98,4.21,-0.42,0.00,14.72,-1.47,14.64,-1.44,0.00,0.55,-0.03,0.67,1000,1000,1000,1000,1020,1500,1522,11183,809
113036,9,-0.04,-0.09,0.00,0.003,-0.072,1.000,-4.23,2.42,0.00,1.98,4.23,-0.44,0.00,14.82,-1.52,14.86,-1.43,0.00,0.61,-0.01,-0.48,1000,1000,1000,1000,1020,1500,1522,11183,809
113049,9,-0.04,0.03,-0.06,0.004,-0.067,0.999,-4.18,2.39,0.00,1.89,4.18,-0.50,0.00,14.63,-1.75,14.67,-1.78,0.00,0.60,-0.08,0.70,1100,1100,1100,1100,1021,1500,1521,11183,809
113061,9,-0.04,0.03,0.06,-0.000,-0.067,0.993,-4.16,2.37,0.00,3.51,4.16,1.14,0.00,14.55,4.00,14.58,3.98,0.00,0.60,0.15,-1.42,1100,1100,1100,1100,1003,1500,1539,11183,809
113072,9,-0.04,0.08,-0.06,-0.006,-0.071,1.003,-4.21,2.28,0.00,3.51,4.21,1.23,0.00,14.72,4.31,14.76,4.22,0.00,0.60,0.14,1.01,1100,1100,1100,1100,1003,1500,1539,11183,809
113084,9,0.19,-0.42,-0.00,0.004,-0.073,0.995,-4.19,2.38,0.00,3.78,4.19,1.40,0.00,14.67,4.90,14.49,5.32,0.00,0.49,0.41,-0.27,1100,1100,1100,1100,1000,1500,1542,11179,809
113096,9,0.13,-0.14,-0.06,0.001,-0.069,1.004,-4.27,2.41,0.00,3.78,4.27,1.37,0.00,14.93,4.79,14.80,4.92,0.00,0.54,0.25,1.04,1100,1100,1100,1100,1000,1500,1542,11170,809
113109,9,0.03,0.03,-0.06,0.004,-0.068,0.995,-4.22,2.38,0.00,1.89,4.22,-0.49,0.00,14.79,-1.71,14.76,-1.74,0.00,0.59,-0.08,0.55,1100,1100,1100,1100,1021,1500,1521,11170,809
113121,9,0.19,-0.27,0.00,-0.001,-0.063,0.997,-4.10,2.37,0.00,1.89,4.10,-0.48,0.00,14.35,-1.68,14.16,-1.41,0.00,0.48,0.06,-0.34,1100,1100,1100,1100,1021,1500,1521,11170,809
113132,9,0.07,-0.20,-0.06,0.003,-0.069,0.999,-4.16,2.35,0.00,1.89,4.16,-0.46,0.00,14.57,-1.61,14.50,-1.41,0.00,0.55,0.03,1.07,1100,1100,1100,1100,1021,1500,1521,11170,809
113144,9,-0.04,-0.20,-0.12,-0.000,-0.066,0.993,-4.23,2.31,0.00,1.89,4.23,-0.42,0.00,14.80,-1.47,14.83,-1.27,0.00,0.62,0.04,1.23,1100,1100,1100,1100,1020,1500,1521,11170,809
113156,9,-0.03,-0.14,-0.00,-0.002,-0.066,1.003,-4.19,2.25,0.00,1.89,4.19,-0.36,0.00,14.65,-1.28,14.68,-1.13,0.00,0.60,0.02,-1.22,1100,1100,1100,1100,1020,1500,1521,11162,809
113169,9,0.13,0.03,0.25,0.001,-0.070,0.994,-4.14,2.27,0.00,2.43,4.14,0.16,0.00,14.51,0.57,14.37,0.54,0.00,0.50,0.02,-3.65,1100,1100,1100,1100,1015,1500,1527,11170,809
113181,9,-0.33,-0.04,-0.11,0.001,-0.076,0.994,-4.25,2.23,0.00,1.89,4.25,-0.34,0.00,14.88,-1.19,15.21,-1.14,0.00,0.73,-0.04,3.53,1100,1100,1100,1100,1021,1500,1521,11175,809
113192,9,0.53,-0.92,-0.12,0.018,-0.058,1.002,-3.94,2.74,0.00,1.89,3.94,-0.85,0.00,13.79,-2.96,13.26,-2.04,0.00,0.32,0.24,2.42,1100,1100,1100,1100,1021,1500,1521,11170,809
