time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
89419,9,0.11,-0.06,-0.06,0.001,-0.053,0.888,-1.86,-0.21,0.00,0.00,1.86,0.21,0.00,6.50,0.72,6.38,0.78,0.00,0.22,0.04,0.54,1000,1000,1000,1000,1026,1482,1505,10633,760
89431,9,0.09,-0.03,-0.07,0.001,-0.053,0.889,-1.87,-0.20,0.00,0.00,1.87,0.20,0.00,6.54,0.71,6.45,0.74,0.00,0.25,0.03,0.58,1000,1000,1000,1000,1026,1482,1507,10633,760
89443,9,0.05,-0.03,-0.10,0.000,-0.052,0.889,-1.87,-0.20,0.00,0.00,1.87,0.20,0.00,6.54,0.71,6.48,0.74,0.00,0.27,0.03,0.70,1100,1100,1100,1100,1026,1502,1505,10633,760
89455,9,0.09,-0.03,-0.05,-0.001,-0.054,0.891,-1.88,-0.24,0.00,0.00,1.88,0.24,0.00,6.57,0.84,6.48,0.87,0.00,0.25,0.03,0.06,1100,1100,1100,1100,1026,1502,1505,10633,760
89467,9,0.09,0.02,-0.05,0.001,-0.051,0.893,-1.87,-0.25,0.00,0.00,1.87,0.25,0.00,6.56,0.86,6.47,0.84,0.00,0.26,0.02,0.10,1100,1100,1100,1100,1026,1502,1505,10633,760
89479,9,0.10,-0.01,-0.07,0.001,-0.052,0.892,-1.87,-0.24,0.00,0.00,1.87,0.24,0.00,6.53,0.85,6.43,0.86,0.00,0.25,0.03,0.45,1100,1100,1100,1100,1026,1502,1505,10633,760
89492,9,0.11,-0.03,-0.08,0.001,-0.053,0.890,-1.88,-0.23,0.00,0.00,1.88,0.23,0.00,6.57,0.82,6.46,0.84,0.00,0.25,0.04,0.51,1100,1100,1100,1100,1026,1502,1505,10633,760
89503,9,0.07,-0.01,-0.08,0.001,-0.053,0.887,-1.89,-0.23,0.00,0.00,1.89,0.23,0.00,6.61,0.80,6.54,0.81,0.00,0.27,0.03,0.44,1100,1100,1100,1100,1026,1500,1507,10633,760
89515,9,0.09,-0.03,-0.04,0.001,-0.053,0.889,-1.90,-0.22,0.00,0.00,1.90,0.22,0.00,6.64,0.79,6.55,0.81,0.00,0.26,0.04,0.07,1100,1100,1100,1100,1026,1500,1507,10633,760
89527,9,0.13,-0.06,0.01,-0.000,-0.053,0.890,-1.90,-0.22,0.00,0.00,1.90,0.22,0.00,6.64,0.78,6.51,0.84,0.00,0.24,0.05,-0.41,1100,1100,1100,1100,1026,1499,1508,10633,760
89539,9,0.11,-0.04,0.02,0.002,-0.052,0.888,-1.89,-0.22,0.00,0.00,1.89,0.22,0.00,6.60,0.76,6.49,0.80,0.00,0.26,0.04,-0.36,1100,1100,1100,1100,1026,1499,1508,10629,760
89551,9,0.13,-0.02,-0.03,0.002,-0.053,0.889,-1.88,-0.21,0.00,0.00,1.88,0.21,0.00,6.59,0.75,6.46,0.76,0.00,0.25,0.03,0.29,1100,1100,1100,1100,1026,1501,1506,10629,760
89563,9,0.12,-0.06,-0.04,0.003,-0.052,0.888,-1.88,-0.20,0.00,0.00,1.88,0.20,0.00,6.58,0.69,6.46,0.75,0.00,0.26,0.04,0.28,1100,1100,1100,1100,1026,1501,1506,10629,760
89575,9,0.08,-0.06,-0.09,0.001,-0.052,0.886,-1.89,-0.21,0.00,0.00,1.89,0.21,0.00,6.62,0.73,6.54,0.79,0.00,0.27,0.04,0.77,1100,1100,1100,1100,1026,1501,1506,10629,760
89587,9,0.05,-0.03,-0.05,0.001,-0.052,0.887,-1.90,-0.23,0.00,0.00,1.90,0.23,0.00,6.65,0.82,6.60,0.84,0.00,0.28,0.02,0.16,1100,1100,1100,1100,1026,1501,1506,10629,760
89599,9,0.09,0.02,0.05,0.002,-0.052,0.890,-1.91,-0.24,0.00,0.00,1.91,0.24,0.00,6.68,0.84,6.59,0.82,0.00,0.26,0.01,-0.93,1100,1100,1100,1100,1026,1501,1506,10629,760
