time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,angle_i_pitch,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,rate_i_pitch,rate_i_yaw,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
28854,9,0.00,-0.08,-0.06,0.031,-0.067,1.004,-0.56,0.07,0.00,0.00,0.56,-0.07,0.00,-0.00,1.98,-0.24,1.98,-0.15,0.00,-0.00,0.00,0.08,-0.00,0.67,1100,1100,1100,1100,1028,1505,1515,10750,877
28866,9,-0.03,-0.01,0.00,0.031,-0.067,1.004,-0.56,0.07,0.00,0.00,0.56,-0.07,0.00,-0.00,1.97,-0.25,2.00,-0.24,0.00,-0.00,0.00,0.08,-0.01,-0.35,1100,1100,1100,1100,1039,1500,1519,10750,877
28878,9,0.00,-0.04,-0.07,0.030,-0.067,1.004,-0.56,0.07,0.00,0.00,0.56,-0.07,0.00,-0.00,1.96,-0.24,1.95,-0.20,0.00,-0.00,0.00,0.08,-0.01,0.52,1100,1100,1100,1100,1039,1500,1519,10750,877
28890,9,-0.05,-0.03,-0.03,0.030,-0.067,1.004,-0.55,0.06,0.00,0.00,0.55,-0.06,0.00,-0.00,1.94,-0.23,1.99,-0.20,0.00,-0.00,0.00,0.08,-0.01,-0.16,1100,1100,1100,1100,1031,1500,1520,10754,877
28902,9,0.03,-0.08,-0.05,0.030,-0.067,1.004,-0.55,0.06,0.00,0.00,0.55,-0.06,0.00,-0.00,1.94,-0.22,1.90,-0.14,0.00,-0.00,0.00,0.07,-0.00,0.14,1100,1100,1100,1100,1031,1500,1520,10750,877
28914,9,-0.05,-0.09,-0.01,0.030,-0.067,1.003,-0.55,0.06,0.00,0.00,0.55,-0.06,0.00,-0.00,1.93,-0.21,1.98,-0.12,0.00,-0.00,0.00,0.08,-0.00,-0.30,1100,1100,1100,1100,1029,1500,1519,10746,877
28926,9,0.02,-0.07,0.06,0.031,-0.066,1.002,-0.55,0.06,0.00,0.00,0.55,-0.06,0.00,-0.00,1.92,-0.22,1.90,-0.15,0.00,-0.00,0.00,0.07,-0.00,-1.24,1100,1100,1100,1100,1030,1500,1518,10737,744
28938,9,-0.02,0.02,-0.07,0.031,-0.066,1.002,-0.54,0.07,0.00,0.00,0.54,-0.07,0.00,-0.00,1.90,-0.24,1.93,-0.25,0.00,-0.00,0.00,0.08,-0.02,0.98,1100,1100,1100,1100,1030,1500,1518,10721,744
28950,9,0.05,-0.05,-0.17,0.031,-0.066,1.003,-0.54,0.07,0.00,0.00,0.54,-0.07,0.00,-0.00,1.88,-0.25,1.83,-0.20,0.00,-0.00,0.00,0.07,-0.00,43.45,1100,1100,1100,1100,1030,1500,1517,10729,744
28962,9,0.04,-0.10,0.21,0.031,-0.066,1.003,-0.53,0.07,0.00,0.00,0.53,-0.07,0.00,-0.00,1.87,-0.26,1.82,-0.16,0.00,-0.00,0.00,0.07,0.00,37.96,1100,1100,1100,1100,1030,1500,1517,10725,744
28974,9,-0.05,-0.05,-0.15,0.030,-0.066,1.003,-0.53,0.07,0.00,0.00,0.53,-0.07,0.00,-0.00,1.86,-0.25,1.91,-0.20,0.00,-0.00,0.00,0.08,-0.01,42.46,1100,1100,1100,1100,1030,1499,1519,10729,744
