time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,angle_i_pitch,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,rate_i_pitch,rate_i_yaw,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
124287,25,-0.82,-15.64,0.31,0.068,-0.071,0.948,-0.21,-1.57,0.00,0.00,0.21,1.57,0.00,0.00,0.73,5.48,1.54,21.12,-0.00,-0.00,0.00,0.18,3.44,-33.64,1100,1100,1100,1100,1050,1499,1518,10484,798
124299,25,1.71,-7.96,0.44,0.086,-0.059,0.946,-0.23,-1.27,0.00,2.52,0.23,3.79,0.00,0.00,0.80,13.28,-0.92,21.24,-0.00,-0.00,0.00,-0.33,1.82,-8.36,1100,1100,1100,1100,1016,1500,1528,10484,798
124311,25,1.14,-7.97,-0.60,0.084,-0.068,0.946,-0.25,-0.92,0.00,2.52,0.25,3.44,0.00,0.00,0.87,12.04,-0.27,20.01,-0.00,-0.00,0.00,-0.22,1.68,7.90,1100,1100,1100,1100,1016,1500,1528,10488,798
124323,25,-0.06,6.91,-1.28,-0.008,-0.067,1.033,-0.20,-0.98,0.00,0.00,0.20,0.98,0.00,0.00,0.70,3.44,0.75,-3.47,-0.00,-0.00,0.00,0.02,-1.11,14.63,1100,1100,1100,1100,1024,1500,1520,10479,733
124335,25,-0.45,-1.69,-0.98,0.010,-0.079,1.004,-0.17,-1.20,0.00,0.00,0.17,1.20,0.00,0.00,0.60,4.20,1.04,5.89,-0.00,-0.00,0.00,0.09,0.93,6.71,1100,1100,1100,1100,1024,1500,1520,10484,733
124347,25,-2.77,-4.77,-0.93,0.059,-0.075,0.982,-0.20,-1.13,0.00,0.00,0.20,1.13,0.00,0.00,0.71,3.95,3.48,8.72,-0.00,-0.00,0.00,0.55,1.30,3.68,1100,1100,1100,1100,1028,1500,1516,10484,733
124359,25,-0.72,1.13,-1.02,0.063,-0.070,0.986,-0.27,-0.86,0.00,2.16,0.27,3.02,0.00,0.00,0.96,10.59,1.68,9.46,-0.00,-0.00,0.00,0.11,0.01,6.61,1100,1100,1100,1100,1021,1499,1524,10488,733
124371,25,3.51,-4.00,0.80,0.084,-0.081,0.947,-0.37,-0.56,0.00,2.16,0.37,2.72,0.00,0.00,1.28,9.54,-2.23,13.54,-0.00,-0.00,0.00,-0.69,0.90,-17.23,1100,1100,1100,1100,1021,1499,1524,10488,733
124383,25,-0.96,9.35,-0.90,0.021,-0.072,1.013,-0.35,-0.51,0.00,0.00,0.35,0.51,0.00,0.00,1.24,1.80,2.20,-7.55,-0.00,-0.00,0.00,0.24,-1.68,7.95,1100,1100,1100,1100,1024,1500,1520,10492,733
124395,25,0.17,-5.36,-0.55,0.081,-0.074,0.949,-0.40,-0.45,0.00,0.00,0.40,0.45,0.00,0.00,1.39,1.56,1.22,6.92,-0.00,-0.00,0.00,-0.01,1.35,0.39,1100,1100,1100,1100,1024,1500,1520,10488,733
124407,25,-0.99,-11.74,0.18,0.128,-0.077,0.924,-0.46,-0.07,0.00,2.61,0.46,2.68,0.00,0.00,1.63,9.38,2.61,21.11,-0.00,-0.00,0.00,0.21,2.33,-6.33,1100,1100,1100,1100,1015,1500,1529,10479,733
124419,25,-2.91,1.66,-0.53,0.067,-0.050,0.971,-0.39,0.25,0.00,2.07,0.39,1.82,0.00,0.00,1.36,6.38,4.27,4.72,-0.00,-0.00,0.00,0.60,-0.47,5.83,1100,1100,1100,1100,1021,1500,1523,10479,733
124431,25,1.69,0.18,-0.41,0.062,-0.073,0.967,-0.36,0.31,0.00,2.07,0.36,1.76,0.00,0.00,1.26,6.16,-0.43,5.98,-0.00,-0.00,0.00,-0.31,0.15,2.27,1100,1100,1100,1100,1021,1500,1523,10488,733
124443,25,-1.09,-6.07,-0.82,0.077,-0.090,0.958,-0.43,0.35,0.00,3.78,0.43,3.43,0.00,0.00,1.51,12.01,2.60,18.08,-0.00,-0.00,0.00,0.25,1.45,6.63,1100,1100,1100,1100,1002,1500,1542,10479,733
124455,25,-1.31,-0.36,-1.34,0.089,-0.057,0.970,-0.40,0.52,0.00,3.78,0.40,3.26,0.00,0.00,1.40,11.41,2.70,11.77,-0.00,-0.00,0.00,0.28,0.10,12.05,1100,1100,1100,1100,1002,1500,1542,10479,733
124467,25,0.95,-4.22,-0.76,0.106,-0.056,0.938,-0.34,0.85,0.00,2.70,0.34,1.85,0.00,0.00,1.20,6.49,0.26,10.72,-0.00,-0.00,0.00,-0.16,0.56,3.03,1100,1100,1100,1100,1014,1500,1530,10479,733
124479,25,-1.14,-0.11,-1.33,0.027,-0.048,0.991,-0.19,0.76,0.00,0.00,0.19,-0.76,0.00,0.00,0.67,-2.66,1.81,-2.54,-0.00,-0.00,0.00,0.26,-0.19,10.07,1100,1100,1100,1100,1025,1500,1520,10479,733
124491,25,0.97,4.97,-1.48,-0.040,-0.053,1.040,-0.03,0.22,0.00,0.00,0.03,-0.22,0.00,0.00,0.10,-0.75,-0.87,-5.72,-0.00,-0.00,0.00,-0.19,-0.85,11.33,1100,1100,1100,1100,1025,1500,1520,10475,733
124503,25,-1.22,6.66,-0.96,-0.059,-0.075,1.056,0.00,-0.44,0.00,1.89,-0.00,2.33,0.00,0.00,-0.02,8.17,1.20,1.51,-0.00,-0.00,0.00,0.24,-0.65,1.12,1100,1100,1100,1100,1024,1500,1521,10467,733
124515,25,1.00,1.61,-1.14,-0.015,-0.084,1.025,-0.09,-0.88,0.00,1.89,0.09,2.77,0.00,0.00,0.33,9.68,-0.67,8.08,-0.00,-0.00,0.00,-0.20,0.29,6.08,1100,1100,1100,1100,1024,1500,1521,10471,733
124527,25,-1.87,-5.23,-1.04,-0.008,-0.086,0.993,-0.22,-1.17,0.00,0.00,0.22,1.17,0.00,0.00,0.77,4.11,2.64,9.34,-0.00,-0.00,0.00,0.34,1.44,4.47,1100,1100,1100,1100,1026,1500,1519,10463,733
124539,25,2.84,-1.20,-0.87,0.011,-0.074,0.980,-0.26,-1.42,0.00,0.00,0.26,1.42,0.00,0.00,0.90,4.96,-1.94,6.16,-0.00,-0.00,0.00,-0.55,0.38,1.47,1100,1100,1100,1100,1029,1500,1517,10475,733
124551,25,-5.73,-7.14,-0.25,0.025,-0.092,0.975,-0.36,-1.55,0.00,0.00,0.36,1.55,0.00,0.00,1.27,5.43,7.00,12.57,-0.00,-0.00,0.00,1.14,1.45,-6.18,1100,1100,1100,1100,1029,1500,1517,10475,733
124563,25,4.21,-3.05,-0.36,0.081,-0.075,0.940,-0.39,-1.33,0.00,0.00,0.39,1.33,0.00,0.00,1.36,4.66,-2.85,7.71,-0.00,-0.00,0.00,-0.82,0.41,-1.36,1100,1100,1100,1100,1027,1504,1515,10479,733
124575,25,-4.11,-7.03,-1.21,0.076,-0.087,0.943,-0.49,-1.01,0.00,0.00,0.49,1.01,0.00,0.00,1.71,3.55,5.82,10.58,-0.00,-0.00,0.00,0.87,1.04,11.22,1100,1100,1100,1100,1027,1500,1515,10484,733
124587,25,3.19,2.17,-1.77,0.055,-0.071,0.956,-0.49,-0.83,0.00,1.98,0.49,2.81,0.00,0.00,1.71,9.84,-1.48,7.68,-0.00,-0.00,0.00,-0.58,-0.40,15.42,1100,1100,1100,1100,1022,1500,1522,10475,733
124599,25,-2.39,-6.10,-1.22,0.051,-0.068,0.963,-0.48,-0.78,0.00,0.00,0.48,0.78,0.00,0.00,1.67,2.73,4.07,8.83,-0.00,-0.00,0.00,0.54,0.92,4.88,1100,1100,1100,1100,1026,1500,1519,10463,733
124611,25,2.59,4.53,-1.29,-0.019,-0.066,1.017,-0.41,-0.99,0.00,0.00,0.41,0.99,0.00,0.00,1.43,3.46,-1.16,-1.07,-0.00,-0.00,0.00,-0.45,-0.86,5.09,1100,1100,1100,1100,1026,1500,1519,10463,733
124623,25,0.07,9.08,-1.91,-0.058,-0.066,1.064,-0.32,-1.45,0.00,2.07,0.32,3.52,0.00,0.00,1.10,12.34,1.03,3.25,-0.00,-0.00,0.00,0.04,-0.92,13.95,1100,1100,1100,1100,1022,1499,1523,10475,732
