time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,angle_roll,angle_pitch,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,rate_i_pitch,rate_i_yaw,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
40248,0,0.15,-0.97,0.54,0.053,-0.073,0.995,0.00,0.00,0.00,0.00,-0.15,0.97,0.01,0.00,-0.02,-0.07,1.17,-1.37,1000,1000,1000,1000,1074,1504,1520,11408,769
40260,0,-0.61,0.85,-0.40,0.039,-0.074,1.007,0.00,0.00,0.00,4.80,0.61,3.95,0.01,0.01,-0.02,0.89,0.19,0.99,1000,1000,1000,1000,1074,1500,1524,11408,769
40272,0,0.17,1.11,-0.03,0.035,-0.070,1.020,0.00,0.00,0.00,4.80,-0.17,3.69,0.01,0.01,-0.01,-0.27,0.68,0.08,1000,1000,1000,1000,1037,1500,1524,11408,769
40284,0,-0.25,0.91,0.63,0.025,-0.072,1.023,0.00,0.00,0.00,4.80,0.25,3.89,0.01,0.03,-0.02,0.40,0.93,-1.60,1000,1000,1000,1000,1037,1500,1524,11412,769
40296,0,-0.45,1.31,-0.44,0.028,-0.078,1.021,0.00,0.00,0.00,4.80,0.45,3.49,0.01,0.04,-0.02,0.58,0.40,1.09,1100,1100,1100,1100,1037,1500,1524,11412,768
40308,0,-0.01,-1.32,-0.35,0.061,-0.071,0.988,0.00,0.00,0.00,4.80,0.01,6.12,0.01,0.05,-0.00,-0.13,4.00,0.87,1100,1100,1100,1100,1038,1500,1524,11408,768
40320,0,0.18,-0.68,0.61,0.064,-0.069,0.997,0.00,0.00,0.00,4.20,-0.18,4.88,0.01,0.06,-0.01,-0.26,2.27,-1.55,1100,1100,1100,1100,1038,1502,1521,11408,768
40332,0,-0.46,-0.20,0.03,0.059,-0.074,0.988,0.00,0.00,0.00,4.20,0.46,4.40,0.01,0.08,-0.02,0.74,1.17,-0.09,1100,1100,1100,1100,1037,1502,1521,11412,768
40344,0,-0.09,1.43,-0.31,0.053,-0.069,1.000,0.00,0.00,0.00,4.80,0.09,3.37,0.01,0.09,-0.01,0.08,-0.76,0.77,1100,1100,1100,1100,1037,1500,1524,11403,768
40356,0,-0.21,-0.06,0.15,0.054,-0.069,1.000,0.00,0.00,0.00,4.80,0.21,4.86,0.01,0.10,-0.01,0.37,1.99,-0.37,1100,1100,1100,1100,1037,1500,1524,11395,768
40368,0,-0.35,-0.15,0.17,0.050,-0.071,0.998,0.00,0.00,0.00,4.80,0.35,4.95,0.01,0.11,-0.02,0.56,2.09,-0.44,1100,1100,1100,1100,1037,1500,1524,11395,768
40380,0,-0.10,0.35,-0.29,0.054,-0.068,1.003,0.00,0.00,0.00,4.80,0.10,4.45,0.01,0.12,-0.01,0.13,1.48,0.72,1100,1100,1100,1100,1037,1500,1524,11399,768
40392,0,0.07,-0.24,-0.04,0.054,-0.069,0.997,0.00,0.00,0.00,4.80,-0.07,5.04,0.01,0.13,-0.01,-0.05,2.36,0.08,1100,1100,1100,1100,1037,1500,1524,11403,768
40404,0,-0.00,-0.19,0.13,0.049,-0.071,1.002,0.00,0.00,0.00,4.80,0.00,4.99,0.01,0.14,-0.01,0.06,2.25,-0.33,1100,1100,1100,1100,1037,1500,1524,11399,771
40416,0,0.20,0.12,-0.13,0.052,-0.069,0.998,0.00,0.00,0.00,4.80,-0.20,4.68,0.01,0.16,-0.01,-0.31,1.91,0.31,1100,1100,1100,1100,1037,1500,1524,11395,771
40428,0,0.22,-0.20,-0.05,0.054,-0.069,1.002,0.00,0.00,0.00,4.80,-0.22,5.00,0.01,0.17,-0.01,-0.28,2.43,0.12,1100,1100,1100,1100,1037,1499,1524,11391,771
40440,0,0.24,-0.15,0.46,0.049,-0.069,1.001,0.00,0.00,0.00,5.00,-0.24,5.15,0.01,0.18,-0.01,-0.31,2.30,-1.17,1100,1100,1100,1100,1037,1499,1525,11391,771
40452,0,-0.10,-0.37,0.13,0.056,-0.070,0.998,0.00,0.00,0.00,5.00,0.10,5.37,0.01,0.19,-0.02,0.19,2.69,-0.35,1100,1100,1100,1100,1036,1499,1525,11395,771
40464,0,0.27,-0.20,-0.96,0.053,-0.068,0.996,0.00,0.00,0.00,5.00,-0.27,5.20,0.01,0.20,-0.00,-0.45,2.53,2.40,1100,1100,1100,1100,1036,1500,1525,11370,771
40476,0,0.04,0.06,0.24,0.043,-0.071,1.003,0.00,0.00,0.00,5.00,-0.04,4.94,0.01,0.21,0.01,-0.03,2.16,-0.59,1100,1100,1100,1100,1036,1500,1525,11366,771
40488,0,-0.22,-0.42,0.88,0.043,-0.077,1.005,0.00,0.00,0.00,4.80,0.22,5.22,0.01,0.23,-0.02,0.36,3.05,-2.22,1100,1100,1100,1100,1036,1500,1524,11366,771
40500,0,-0.21,-0.77,-0.71,0.046,-0.069,1.002,0.00,0.00,0.00,4.80,0.21,5.57,0.01,0.24,-0.02,0.25,3.62,1.75,1100,1100,1100,1100,1036,1500,1524,11358,771
40512,0,0.05,0.31,-1.21,0.049,-0.066,0.998,0.00,0.00,0.00,4.80,-0.05,4.49,0.01,0.25,0.02,-0.10,1.89,3.04,1100,1100,1100,1100,1037,1500,1524,11362,771
40524,0,0.25,0.18,1.29,0.051,-0.066,0.990,0.00,0.00,0.00,4.80,-0.25,4.62,0.01,0.26,0.00,-0.35,2.06,-3.23,1100,1100,1100,1100,1037,1500,1524,11312,771
40536,0,-0.48,-0.11,0.49,0.041,-0.064,0.999,0.00,0.00,0.00,4.80,0.48,4.91,0.01,0.27,-0.04,0.68,2.70,-1.25,1100,1100,1100,1100,1037,1500,1524,11349,771
40548,0,-0.21,-0.04,-1.30,0.049,-0.069,0.992,0.00,0.00,0.00,4.60,0.21,4.64,0.01,0.28,-0.01,0.37,2.75,3.24,1100,1100,1100,1100,1048,1501,1523,11324,771
40560,0,-0.22,2.74,-0.05,0.028,-0.074,1.015,0.00,0.00,0.00,4.80,0.22,2.06,0.01,0.29,0.01,0.31,-1.42,0.14,1100,1100,1100,1100,1048,1500,1524,11274,771
40572,0,0.07,0.05,1.23,0.022,-0.073,1.020,0.00,0.00,0.00,4.80,-0.07,4.75,0.01,0.30,-0.02,-0.25,3.04,-3.10,1100,1100,1100,1100,1037,1500,1524,11254,771
40584,0,0.55,-0.97,-0.20,0.053,-0.070,1.002,0.00,0.00,0.00,4.80,-0.55,5.77,0.01,0.31,-0.03,-0.94,4.36,0.48,1100,1100,1100,1100,1037,1500,1524,11254,771
40596,0,0.06,1.07,-1.06,0.053,-0.078,1.000,0.00,0.00,0.00,4.80,-0.06,3.73,0.01,0.32,-0.00,-0.06,0.95,2.66,1100,1100,1100,1100,1037,1500,1524,11237,771
40608,0,0.32,2.50,0.41,0.031,-0.073,1.014,0.00,0.00,0.00,4.80,-0.32,2.30,0.01,0.33,0.00,-0.48,-0.95,-1.02,1100,1100,1100,1100,1037,1500,1524,11220,771
40620,0,0.03,0.84,0.65,0.035,-0.069,1.012,0.00,0.00,0.00,4.80,-0.03,3.96,0.01,0.34,-0.02,-0.05,1.81,-1.64,1100,1100,1100,1100,1037,1500,1524,11241,771
40632,0,-0.31,1.01,-0.80,0.043,-0.067,1.014,0.00,0.00,0.00,4.80,0.31,3.79,0.01,0.35,-0.01,0.52,1.66,1.99,1100,1100,1100,1100,1037,1500,1524,11233,771
40644,0,0.54,0.80,-0.25,0.040,-0.061,1.018,0.00,0.00,0.00,4.80,-0.54,4.00,0.01,0.36,0.01,-0.81,1.96,0.64,1100,1100,1100,1100,1037,1500,1524,11245,771
40656,0,0.69,-0.36,0.79,0.051,-0.057,1.005,0.00,0.00,0.00,4.80,-0.69,5.16,0.01,0.37,-0.00,-1.03,3.61,-1.98,1100,1100,1100,1100,1037,1500,1524,11245,771
40668,0,-0.23,0.83,0.58,0.054,-0.063,0.998,0.00,0.00,0.00,4.80,0.23,3.97,0.01,0.38,-0.03,0.50,1.18,-1.48,1100,1100,1100,1100,1037,1500,1524,11312,771
