time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,rate_i_pitch,rate_i_yaw,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
68627,0,-0.01,-0.00,-0.06,0.003,-0.029,0.999,0.00,0.00,0.00,0.00,0.01,0.00,-0.00,0.00,0.00,0.07,-0.08,0.15,1100,1100,1100,1100,1029,1501,1518,0,739
68639,0,-0.05,-0.01,-0.05,0.002,-0.030,0.998,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.01,0.14,0.10,0.13,1100,1100,1100,1100,1029,1501,1518,0,739
68651,0,-0.02,0.02,-0.02,0.002,-0.030,0.998,0.00,0.00,0.00,0.00,0.02,-0.02,0.00,0.00,0.01,-0.08,-0.03,0.05,1100,1100,1100,1100,1029,1501,1518,0,739
68663,0,0.01,-0.01,-0.04,0.002,-0.030,0.999,0.00,0.00,0.00,0.00,-0.01,0.01,0.00,0.00,0.01,-0.02,0.07,0.10,1100,1100,1100,1100,1030,1501,1518,0,739
68675,0,-0.03,-0.01,-0.06,0.003,-0.030,0.999,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.01,-0.02,0.02,0.17,1100,1100,1100,1100,1030,1500,1518,0,739
68687,0,0.02,-0.07,-0.04,0.003,-0.030,0.999,0.00,0.00,0.00,0.00,-0.02,0.07,0.00,0.00,0.01,-0.12,0.20,0.10,1100,1100,1100,1100,1030,1500,1518,0,739
68699,0,-0.01,-0.03,-0.08,0.003,-0.030,0.999,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.01,0.03,-0.01,0.21,1100,1100,1100,1100,1029,1500,1518,0,739
68711,0,-0.06,-0.09,-0.02,0.003,-0.029,0.998,0.00,0.00,0.00,0.00,0.06,0.09,0.00,0.00,0.01,0.12,0.11,0.05,1100,1100,1100,1100,1029,1500,1518,0,739
68723,0,0.04,0.05,-0.01,0.003,-0.028,0.998,0.00,0.00,0.00,0.00,-0.04,-0.05,0.00,0.00,0.01,-0.24,-0.45,0.04,1100,1100,1100,1100,1029,1502,1518,0,731
68735,0,-0.01,-0.01,-0.05,0.003,-0.027,0.998,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.02,0.14,-0.04,0.15,1100,1100,1100,1100,1029,1500,1519,0,731
