time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,rate_i_pitch,rate_i_yaw,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
32139,0,-0.01,-0.05,-0.06,0.046,-0.044,1.000,0.00,0.00,0.00,0.00,0.01,0.05,0.00,0.00,0.00,0.10,0.11,0.15,1000,1000,1000,1000,1020,1500,1514,0,738
32151,0,0.01,-0.04,-0.01,0.046,-0.044,1.000,0.00,0.00,0.00,0.00,-0.01,0.04,0.00,0.00,0.00,-0.05,-0.06,0.03,1000,1000,1000,1000,1020,1500,1512,0,738
32163,0,0.03,-0.04,-0.02,0.046,-0.044,1.000,0.00,0.00,0.00,0.00,-0.03,0.04,-0.00,0.00,0.00,-0.08,0.07,0.05,1000,1000,1000,1000,1022,1500,1512,0,738
32175,0,-0.04,-0.01,0.01,0.046,-0.044,0.999,0.00,0.00,0.00,0.00,0.04,0.01,-0.00,0.00,0.00,0.16,-0.02,-0.01,1000,1000,1000,1000,1022,1500,1512,0,738
32187,0,0.02,-0.03,-0.02,0.045,-0.044,1.001,0.00,0.00,0.00,0.00,-0.02,0.03,0.00,0.00,0.00,-0.10,0.02,0.06,1100,1100,1100,1100,1022,1500,1512,0,736
32199,0,-0.03,-0.05,-0.01,0.045,-0.044,1.001,0.00,0.00,0.00,0.00,0.03,0.05,0.00,0.00,0.00,0.04,0.02,0.04,1100,1100,1100,1100,1022,1497,1512,0,736
32211,0,-0.03,-0.09,-0.06,0.046,-0.044,1.001,0.00,0.00,0.00,0.00,0.03,0.09,0.00,0.00,0.01,0.02,0.17,0.15,1100,1100,1100,1100,1022,1500,1512,0,736
32223,0,0.01,-0.06,0.00,0.047,-0.043,1.001,0.00,0.00,0.00,0.00,-0.01,0.06,0.00,0.00,0.01,-0.09,0.04,-0.00,1100,1100,1100,1100,1022,1500,1512,0,736
32235,0,0.06,0.02,-0.02,0.046,-0.043,1.000,0.00,0.00,0.00,0.00,-0.06,-0.02,0.00,0.00,0.01,-0.24,-0.16,0.06,1100,1100,1100,1100,1022,1500,1512,0,736
32247,0,0.03,0.01,0.01,0.046,-0.043,1.001,0.00,0.00,0.00,0.00,-0.03,-0.01,0.00,0.00,0.01,-0.13,-0.16,-0.02,1100,1100,1100,1100,1022,1500,1512,0,736
