time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,rate_i_pitch,rate_i_yaw,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
108820,0,-0.01,-0.04,0.01,0.019,-0.011,1.001,0.00,0.00,0.00,0.03,0.01,0.07,-0.00,0.00,0.00,0.02,0.12,-0.02,1100,1100,1100,1100,1021,1499,1523,11732,721
108832,0,0.01,-0.04,0.00,0.019,-0.011,1.001,0.00,0.00,0.00,0.03,-0.01,0.07,0.00,0.00,-0.00,-0.03,0.10,-0.00,1100,1100,1100,1100,1012,1499,1532,11732,721
108844,0,-0.01,-0.06,-0.02,0.018,-0.011,1.001,0.00,0.00,-0.00,0.03,0.01,0.09,0.00,0.00,-0.00,0.02,0.11,0.04,1100,1100,1100,1100,1012,1499,1532,11732,721
108856,0,0.01,0.05,-0.02,0.018,-0.011,1.001,0.00,0.00,-0.00,0.03,-0.01,-0.02,-0.00,0.00,0.00,0.00,-0.28,0.05,1100,1100,1100,1100,1023,1499,1521,11732,721
108868,0,0.02,0.05,0.04,0.018,-0.011,1.001,0.00,0.00,-0.00,0.03,-0.02,-0.02,-0.00,0.00,-0.00,-0.02,-0.13,-0.11,1100,1100,1100,1100,1023,1499,1531,11732,721
108880,0,0.00,-0.02,0.00,0.018,-0.011,0.999,0.00,0.00,-0.01,0.03,-0.01,0.05,-0.00,0.00,-0.00,0.01,0.09,-0.01,1100,1100,1100,1100,1013,1499,1531,11732,721
108892,0,-0.03,0.00,0.06,0.018,-0.011,1.000,0.00,0.00,-0.00,0.03,0.02,0.03,-0.00,0.00,-0.00,0.03,-0.06,-0.15,1100,1100,1100,1100,1023,1499,1521,11732,721
108904,0,0.02,0.04,0.01,0.019,-0.011,1.000,0.00,0.00,-0.00,0.03,-0.02,-0.01,-0.00,0.00,-0.00,-0.05,-0.08,-0.03,1100,1100,1100,1100,1023,1499,1521,11732,721
108916,0,-0.09,0.08,0.04,0.017,-0.012,1.000,0.00,0.00,-0.00,0.03,0.09,-0.06,0.00,0.00,-0.00,0.16,-0.29,-0.09,1100,1100,1100,1100,1020,1499,1524,11728,722
108928,0,0.01,0.11,-0.06,0.018,-0.012,1.000,0.00,0.00,-0.00,0.03,-0.01,-0.08,-0.00,0.00,-0.00,0.01,-0.21,0.14,1100,1100,1100,1100,1020,1499,1524,11728,722
108940,0,-0.03,0.01,-0.00,0.018,-0.012,1.000,0.00,0.00,-0.00,0.03,0.03,0.01,-0.00,0.00,-0.00,0.09,0.32,0.01,1100,1100,1100,1100,1020,1499,1524,11728,722
108952,0,-0.02,-0.09,0.02,0.018,-0.011,0.999,0.00,0.00,-0.00,0.03,0.02,0.12,-0.00,0.00,-0.00,0.11,0.51,-0.06,1100,1100,1100,1100,1020,1499,1524,11724,722
108964,0,-0.04,-0.08,-0.01,0.018,-0.011,1.000,0.00,0.00,-0.00,0.03,0.04,0.11,-0.00,0.00,-0.00,0.12,0.37,0.02,1100,1100,1100,1100,1020,1499,1524,11724,722
108976,0,0.05,-0.13,-0.11,0.018,-0.012,1.000,0.00,0.00,-0.00,0.03,-0.05,0.16,-0.00,0.00,-0.00,-0.01,0.44,0.28,1100,1100,1100,1100,1021,1499,1523,11724,722
108988,0,-0.09,-0.11,-0.03,0.018,-0.012,1.000,0.00,0.00,-0.00,0.03,0.09,0.15,-0.00,0.00,0.00,0.19,0.46,0.08,1100,1100,1100,1100,1021,1499,1523,11724,722
109000,0,0.01,-0.13,0.02,0.019,-0.012,1.001,0.00,0.00,0.00,0.03,-0.00,0.16,-0.00,0.00,0.00,-0.01,0.54,-0.04,1100,1100,1100,1100,1021,1499,1523,11724,722
109012,0,0.00,0.00,-0.07,0.019,-0.012,1.001,0.00,0.00,-0.00,0.03,-0.00,0.03,-0.00,0.00,0.00,0.02,0.00,0.17,1100,1100,1100,1100,1021,1499,1523,11724,722
109024,0,0.04,-0.08,0.30,0.017,-0.013,1.000,0.00,0.00,0.00,0.03,-0.04,0.11,-0.00,0.00,-0.00,-0.10,0.58,-0.76,1100,1100,1100,1100,1021,1499,1523,11716,718
109036,0,-0.05,-0.28,-0.38,0.022,-0.016,0.998,0.00,0.00,0.00,0.03,0.05,0.31,-0.00,0.00,-0.00,-0.06,0.46,0.94,1100,1100,1100,1100,1020,1499,1524,11711,718
109048,0,0.18,-0.02,-0.76,0.022,-0.016,0.996,0.00,0.00,0.01,0.03,-0.17,0.05,0.00,0.00,0.02,-0.57,-0.86,1.93,1100,1100,1100,1100,1020,1499,1523,11703,718
109060,0,0.36,0.23,0.55,0.018,-0.006,0.998,0.00,0.00,0.00,0.02,-0.35,-0.21,-0.00,0.00,0.02,-0.47,-1.24,-1.34,1100,1100,1100,1100,1022,1499,1523,11703,718
109072,0,0.33,0.36,0.74,0.012,-0.011,1.003,0.00,0.00,0.00,0.02,-0.33,-0.34,-0.00,0.00,-0.00,-0.62,-1.27,-1.86,1100,1100,1100,1100,1020,1499,1524,11703,718
109084,0,-0.02,-0.12,-0.13,0.009,-0.007,1.004,0.00,0.00,-0.01,0.03,0.01,0.15,-0.00,0.00,-0.00,0.24,0.91,0.33,1100,1100,1100,1100,1020,1499,1524,11695,718
109096,0,0.18,1.51,-0.21,-0.004,-0.004,1.019,0.00,0.00,-0.02,0.04,-0.20,-1.47,-0.00,0.00,0.00,-0.25,-4.35,0.52,1100,1100,1100,1100,1022,1499,1523,11666,718
109108,0,0.13,1.24,0.08,-0.019,0.004,1.035,0.00,0.00,-0.04,0.06,-0.17,-1.18,-0.00,-0.00,-0.00,0.24,-0.01,-0.20,1100,1100,1100,1100,1022,1499,1524,11641,718
109120,0,-0.26,0.20,0.00,-0.008,-0.006,1.025,0.00,0.00,-0.05,0.08,0.21,-0.12,-0.00,-0.00,-0.00,0.59,2.41,-0.01,1100,1100,1100,1100,1020,1499,1524,11637,724
109132,0,0.15,-0.75,-0.13,0.003,-0.010,1.023,0.00,0.00,-0.05,0.13,-0.20,0.88,-0.00,-0.00,0.00,-0.47,1.68,0.32,1100,1100,1100,1100,1023,1499,1521,11624,724
109144,0,0.18,0.28,0.16,0.007,-0.006,1.021,0.00,0.00,-0.06,0.16,-0.24,-0.12,-0.00,-0.00,-0.00,-0.18,-3.11,-0.41,1100,1100,1100,1100,1023,1499,1521,11632,724
109156,0,0.37,-1.10,0.15,0.022,-0.005,1.004,0.00,0.00,-0.07,0.20,-0.45,1.30,-0.00,0.00,-0.01,-0.71,1.57,-0.39,1100,1100,1100,1100,1023,1499,1521,11624,724
109168,0,0.10,-0.04,-0.21,0.019,-0.007,1.005,0.00,0.00,-0.08,0.22,-0.18,0.26,-0.00,0.00,-0.00,-0.29,-3.30,0.51,1100,1100,1100,1100,1023,1499,1521,11612,724
109180,0,0.02,-0.53,0.08,0.037,-0.013,0.986,0.00,0.00,-0.08,0.22,-0.10,0.76,-0.00,0.01,-0.01,-0.41,-1.48,-0.20,1100,1100,1100,1100,1023,1499,1521,11624,724
109192,0,-0.45,-0.65,-0.16,0.038,-0.013,0.974,0.00,0.00,-0.08,0.20,0.37,0.85,-0.00,0.01,-0.00,0.57,0.15,0.39,1100,1100,1100,1100,1023,1499,1521,11549,724
109204,0,0.02,-0.64,-0.36,0.030,-0.016,0.982,0.00,0.00,-0.07,0.18,-0.09,0.82,-0.00,0.01,0.00,-0.09,0.78,0.91,1100,1100,1100,1100,1023,1499,1521,11566,724
109216,0,0.14,-0.37,-0.07,0.029,-0.014,0.989,0.00,0.00,-0.07,0.17,-0.22,0.54,-0.00,0.01,0.01,0.02,-0.43,0.19,1100,1100,1100,1100,1023,1499,1521,11566,787
109228,0,0.01,-0.62,0.53,0.018,-0.014,1.002,0.00,0.00,-0.06,0.17,-0.07,0.78,-0.00,0.01,-0.00,0.04,3.44,-1.32,1100,1100,1100,1100,1023,1499,1526,11595,787
109240,0,0.24,-0.81,0.04,0.031,-0.016,0.992,0.00,0.00,-0.06,0.16,-0.30,0.97,-0.00,0.02,-0.01,-0.25,1.19,-0.10,1100,1100,1100,1100,1018,1499,1526,11616,787
109252,0,-0.08,-0.47,-0.39,0.030,-0.007,0.989,0.00,0.00,-0.06,0.15,0.02,0.62,-0.00,0.02,-0.00,0.43,-1.05,0.97,1100,1100,1100,1100,1023,1499,1521,11607,787
109264,0,-0.47,-1.18,-0.14,0.024,-0.008,0.990,0.00,0.00,-0.06,0.17,0.41,1.34,-0.00,0.02,0.01,0.78,1.49,0.35,1100,1100,1100,1100,1023,1499,1521,11603,787
109276,0,-0.25,-0.49,0.51,0.036,-0.018,0.978,0.00,0.00,-0.04,0.16,0.21,0.65,-0.00,0.02,-0.00,-0.31,-2.64,-1.29,1100,1100,1100,1100,1023,1499,1521,11599,787
109288,0,0.12,-1.32,-0.02,0.033,-0.011,0.969,0.00,0.00,-0.04,0.15,-0.16,1.48,-0.00,0.03,-0.01,-0.06,2.36,0.03,1100,1100,1100,1100,1023,1499,1521,11620,787
109300,0,-0.15,-0.05,-0.66,0.042,-0.012,0.979,0.00,0.00,-0.03,0.12,0.12,0.18,-0.00,0.03,0.01,0.42,-2.98,1.66,1100,1100,1100,1100,1023,1499,1521,11616,787
109312,0,0.39,0.72,0.59,0.028,-0.019,0.990,0.00,0.00,-0.02,0.08,-0.41,-0.64,-0.00,0.03,0.00,-0.68,-1.52,-1.48,1100,1100,1100,1100,1022,1499,1522,11624,787
