time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,rate_i_pitch,rate_i_yaw,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
60749,0,-0.01,0.01,-0.02,0.038,-0.028,1.000,0.00,0.00,0.01,0.03,0.02,0.02,0.00,0.00,0.00,0.02,-0.04,0.06,1100,1100,1100,1100,1035,1496,1505,12498,726
60761,0,-0.01,-0.03,-0.01,0.039,-0.029,1.000,0.00,0.00,0.01,0.03,0.02,0.06,0.00,0.00,0.00,0.01,0.14,0.03,1100,1100,1100,1100,1035,1496,1505,12498,726
60773,0,-0.01,0.01,-0.00,0.039,-0.029,1.000,0.00,0.00,0.01,0.03,0.02,0.02,0.00,0.00,0.00,0.01,-0.08,0.00,1100,1100,1100,1100,1036,1496,1505,12498,726
60785,0,-0.03,0.00,-0.02,0.039,-0.029,0.999,0.00,0.00,0.01,0.03,0.04,0.02,0.00,0.00,0.00,0.05,-0.02,0.06,1100,1100,1100,1100,1036,1496,1505,12498,726
60797,0,-0.02,0.05,0.01,0.039,-0.029,1.000,0.00,0.00,0.01,0.02,0.03,-0.02,0.00,0.00,0.00,0.01,-0.15,-0.01,1100,1100,1100,1100,1036,1496,1505,12498,726
60809,0,0.02,0.03,0.03,0.039,-0.029,1.000,0.00,0.00,0.01,0.02,-0.01,-0.00,0.00,0.00,0.00,-0.04,-0.00,-0.08,1100,1100,1100,1100,1036,1496,1505,12498,726
60821,0,0.01,0.01,0.04,0.038,-0.028,1.000,0.00,0.00,0.01,0.02,0.00,0.01,0.00,0.00,-0.00,-0.01,-0.01,-0.11,1100,1100,1100,1100,1036,1496,1505,12498,726
60833,0,-0.04,0.01,-0.04,0.038,-0.029,0.999,0.00,0.00,0.01,0.02,0.05,0.02,0.00,0.00,0.00,0.06,0.05,0.11,1100,1100,1100,1100,1036,1496,1505,12498,726
60845,0,0.05,-0.04,0.01,0.039,-0.029,0.997,0.00,0.00,0.01,0.02,-0.04,0.06,0.00,0.00,0.00,-0.10,0.18,-0.02,1100,1100,1100,1100,1036,1496,1505,12494,726
60857,0,0.02,-0.12,-0.02,0.040,-0.028,0.997,0.00,0.00,0.01,0.02,-0.00,0.14,0.00,0.00,0.00,0.02,0.34,0.05,1100,1100,1100,1100,1036,1496,1505,12498,726
60869,0,0.01,-0.11,-0.00,0.039,-0.028,0.998,0.00,0.00,0.01,0.02,0.00,0.13,0.00,0.00,0.00,0.02,0.11,0.01,1100,1100,1100,1100,1036,1496,1505,12482,726
60881,0,-0.00,-0.06,0.03,0.039,-0.029,0.999,0.00,0.00,0.01,0.02,0.02,0.08,0.00,0.00,0.00,0.01,-0.02,-0.08,1100,1100,1100,1100,1036,1496,1504,12482,726
60893,0,0.05,-0.01,0.01,0.040,-0.029,0.998,0.00,0.00,0.01,0.02,-0.04,0.03,0.00,0.00,0.00,-0.09,-0.23,-0.02,1100,1100,1100,1100,1036,1496,1504,12482,726
60905,0,0.01,-0.01,0.03,0.040,-0.030,0.999,0.00,0.00,0.01,0.02,0.00,0.03,0.00,0.00,-0.00,0.03,-0.15,-0.07,1100,1100,1100,1100,1036,1496,1504,12477,726
60917,0,-0.02,-0.02,-0.01,0.039,-0.028,0.999,0.00,0.00,0.01,0.02,0.04,0.04,0.00,0.00,-0.00,0.07,0.00,0.02,1100,1100,1100,1100,1036,1496,1504,12477,726
60929,0,-0.01,-0.02,-0.05,0.039,-0.028,0.999,0.00,0.00,0.01,0.02,0.02,0.04,0.00,0.00,0.00,0.05,-0.05,0.12,1100,1100,1100,1100,1036,1496,1504,12482,712
60941,0,0.00,-0.08,0.09,0.038,-0.027,0.999,0.00,0.00,0.01,0.02,0.01,0.11,0.00,0.00,0.00,0.08,-0.11,-0.22,1100,1100,1100,1100,1036,1496,1505,12477,712
60953,0,-0.01,-0.01,0.13,0.040,-0.026,1.000,0.00,0.00,0.00,0.02,0.02,0.03,0.00,0.00,-0.01,0.05,-0.17,-0.34,1100,1100,1100,1100,1035,1496,1505,12482,712
60965,0,-0.01,0.26,-0.79,0.038,-0.030,0.999,0.00,0.00,0.00,0.02,0.01,-0.24,0.00,0.00,0.01,0.08,-0.71,1.99,1100,1100,1100,1100,1035,1496,1505,12469,712
60977,0,0.16,0.86,-0.14,0.032,-0.025,1.009,0.00,0.00,-0.00,0.01,-0.16,-0.85,0.00,0.00,0.02,-0.26,-1.37,0.37,1100,1100,1100,1100,1035,1496,1505,12448,712
60989,0,0.11,0.66,0.87,0.023,-0.023,1.015,0.00,0.00,-0.01,0.02,-0.12,-0.65,-0.00,-0.00,0.00,-0.04,0.18,-2.18,1100,1100,1100,1100,1035,1496,1505,12440,712
61001,0,0.07,0.96,-0.03,0.012,-0.026,1.024,0.00,0.00,-0.01,0.04,-0.09,-0.92,-0.00,-0.00,-0.00,-0.09,-2.40,0.08,1100,1100,1100,1100,1035,1496,1505,12432,712
61013,0,-0.05,-0.12,-0.30,0.022,-0.023,1.011,0.00,0.00,-0.02,0.06,0.03,0.18,-0.00,-0.00,0.00,0.43,2.30,0.75,1100,1100,1100,1100,1035,1496,1505,12423,712
61025,0,-0.11,-2.39,0.29,0.047,-0.030,0.991,0.00,0.00,-0.01,0.10,0.09,2.49,-0.00,0.00,-0.00,0.06,5.72,-0.73,1100,1100,1100,1100,1035,1496,1505,12423,712
61037,0,0.14,-0.27,-0.21,0.045,-0.025,1.007,0.00,0.00,-0.02,0.10,-0.16,0.36,-0.00,0.00,-0.00,-0.21,-1.21,0.53,1100,1100,1100,1100,1035,1496,1505,12415,723
61049,0,0.15,-2.03,0.15,0.050,-0.020,0.995,0.00,0.00,-0.04,0.11,-0.18,2.14,-0.00,0.01,0.00,-0.01,4.29,-0.39,1100,1100,1100,1100,1035,1496,1505,12344,723
61061,0,-0.11,-0.59,0.16,0.032,-0.025,1.006,0.00,0.00,-0.05,0.13,0.07,0.71,-0.00,0.01,-0.01,0.34,-1.65,-0.41,1100,1100,1100,1100,1035,1496,1505,12328,723
61073,0,-0.20,-0.00,-0.13,0.030,-0.025,1.008,0.00,0.00,-0.05,0.14,0.15,0.15,-0.00,0.01,-0.01,0.19,-1.24,0.32,1100,1100,1100,1100,1035,1496,1505,12328,723
61085,0,-0.09,0.01,0.01,0.026,-0.027,1.008,0.00,0.00,-0.05,0.17,0.04,0.15,-0.00,0.01,-0.00,-0.23,-0.49,-0.03,1100,1100,1100,1100,1035,1496,1505,12311,723
61097,0,-0.04,1.85,0.08,0.014,-0.030,1.016,0.00,0.00,-0.05,0.17,-0.01,-1.68,0.00,0.01,-0.01,-0.47,-4.96,-0.21,1100,1100,1100,1100,1035,1496,1505,12294,723
61109,0,0.05,1.09,-0.24,0.010,-0.030,1.015,0.00,0.00,-0.04,0.19,-0.09,-0.89,0.00,0.01,-0.00,-0.37,-1.53,0.60,1100,1100,1100,1100,1035,1496,1505,12257,723
61121,0,0.57,-0.05,-0.39,0.010,-0.029,1.026,0.00,0.00,-0.05,0.24,-0.62,0.28,-0.00,0.01,0.01,-0.43,0.53,0.98,1100,1100,1100,1100,1035,1496,1505,12282,723
61133,0,0.46,1.31,0.07,0.010,-0.029,1.021,0.00,0.00,-0.07,0.26,-0.52,-1.05,-0.00,0.01,0.01,0.13,-2.70,-0.17,1100,1100,1100,1100,1035,1496,1505,12273,717
61145,0,0.47,2.22,0.23,0.004,-0.022,1.019,0.00,0.00,-0.09,0.27,-0.55,-1.95,-0.00,0.00,0.00,0.25,-3.53,-0.57,1100,1100,1100,1100,1035,1496,1505,12282,717
61157,0,0.02,0.44,-0.03,0.012,-0.025,1.023,0.00,0.00,-0.10,0.30,-0.12,-0.14,-0.00,0.00,0.00,0.34,2.35,0.07,1100,1100,1100,1100,1035,1496,1505,12286,717
61169,0,0.68,-0.87,0.19,0.025,-0.032,1.012,0.00,0.00,-0.10,0.33,-0.78,1.21,-0.00,0.00,-0.00,-1.03,4.70,-0.49,1100,1100,1100,1100,1036,1496,1505,12332,717
61181,0,0.01,1.11,-0.50,0.023,-0.018,1.017,0.00,0.00,-0.12,0.33,-0.14,-0.78,-0.00,0.00,0.00,0.75,-2.81,1.24,1100,1100,1100,1100,1036,1495,1505,12336,717
61193,0,-0.48,-1.21,0.10,0.026,-0.021,1.006,0.00,0.00,-0.13,0.36,0.35,1.57,-0.00,0.00,0.01,0.85,5.49,-0.24,1100,1100,1100,1100,1036,1495,1505,12357,717
61205,0,0.45,-1.57,0.93,0.038,-0.022,0.989,0.00,0.00,-0.14,0.40,-0.59,1.97,-0.00,0.01,-0.01,-1.05,1.41,-2.35,1100,1100,1100,1100,1036,1496,1505,12348,717
61217,0,-0.43,-1.96,-0.63,0.042,-0.015,0.979,0.00,0.00,-0.15,0.44,0.28,2.39,-0.00,0.01,-0.01,0.68,1.45,1.57,1100,1100,1100,1100,1036,1496,1505,12344,717
61229,0,-0.12,-0.99,-0.19,0.046,-0.030,0.979,0.00,0.00,-0.14,0.45,-0.02,1.44,-0.00,0.02,0.01,-0.78,-1.49,0.47,1100,1100,1100,1100,1036,1496,1505,12328,718
61241,0,0.04,-1.24,0.95,0.027,-0.016,0.983,0.00,0.00,-0.16,0.48,-0.20,1.72,-0.00,0.02,-0.01,0.28,0.62,-2.38,1100,1100,1100,1100,1036,1496,1505,12328,718
61253,0,-1.17,-0.24,-0.65,0.045,-0.029,0.988,0.00,0.00,-0.14,0.49,1.02,0.73,-0.00,0.02,-0.01,0.87,-2.04,1.61,1100,1100,1100,1100,1035,1496,1505,12311,718
61265,0,0.98,-1.35,0.35,0.050,-0.031,0.983,0.00,0.00,-0.13,0.46,-1.12,1.82,-0.00,0.03,-0.01,-1.85,3.99,-0.89,1100,1100,1100,1100,1035,1496,1505,12311,718
61277,0,-1.13,-1.03,0.11,0.054,-0.018,0.990,0.00,0.00,-0.14,0.48,0.99,1.50,-0.00,0.03,-0.02,1.97,0.44,-0.30,1100,1100,1100,1100,1035,1496,1505,12298,718
61289,0,1.18,0.55,-0.21,0.052,-0.050,0.978,0.00,0.00,-0.12,0.44,-1.31,-0.11,-0.00,0.03,-0.01,-2.47,-4.00,0.51,1100,1100,1100,1100,1035,1496,1505,12332,718
61301,0,-0.45,-0.72,0.39,0.039,-0.018,0.987,0.00,0.00,-0.14,0.46,0.31,1.18,-0.00,0.04,-0.02,1.29,-0.13,-0.99,1100,1100,1100,1100,1035,1496,1505,12323,718
61313,0,0.74,0.19,-0.25,0.051,-0.047,0.994,0.00,0.00,-0.12,0.43,-0.85,0.24,-0.00,0.04,-0.01,-1.47,-0.35,0.62,1100,1100,1100,1100,1035,1496,1505,12323,718
61325,0,-0.35,-1.31,0.33,0.061,-0.026,0.980,0.00,0.00,-0.12,0.43,0.23,1.74,-0.00,0.04,-0.02,0.67,3.11,-0.84,1100,1100,1100,1100,1035,1496,1505,12328,718
61337,0,1.07,0.27,-0.37,0.055,-0.037,0.984,0.00,0.00,-0.11,0.39,-1.18,0.12,-0.01,0.04,-0.02,-1.54,-4.30,0.90,1100,1100,1100,1100,1035,1496,1505,12323,718
61349,0,-0.98,-2.51,0.19,0.071,-0.019,0.956,0.00,0.00,-0.12,0.40,0.86,2.90,-0.00,0.05,-0.02,1.70,4.78,-0.50,1100,1100,1100,1100,1035,1496,1505,12336,718
