for 0.6
Front Nose down 
A:  -0.0  -0.1 | G:   -0.1    0.1   -0.0 | P:   0.1   0.1   0.0 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.0  -0.1 | G:   -0.0    0.0    0.1 | P:   0.0   0.1  -0.1 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.0  -0.1 | G:   -0.1    0.0    0.1 | P:   0.1   0.1  -0.2 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.0  -0.1 | G:   -0.1    0.1   -0.0 | P:   0.1   0.1   0.0 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.0  -0.1 | G:   -0.0    0.0   -0.0 | P:   0.1   0.1   0.0 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.1  -0.1 | G:   -0.0    0.0   -0.1 | P:   0.1   0.2   0.1 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.0  -0.1 | G:   -0.0    0.0   -0.0 | P:   0.1   0.1   0.0 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.0  -0.1 | G:   -0.0    0.1   -0.0 | P:   0.1   0.0   0.0 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.0  -0.1 | G:   -0.1    0.1    0.1 | P:   0.1   0.1  -0.1 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.0  -0.1 | G:   -0.4    0.5    0.1 | P:   0.2  -0.1  -0.2 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.1  -0.2 | G:   -0.4    0.6   -0.0 | P:   0.3  -0.2   0.0 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.1  -0.2 | G:   -0.1    0.3   -0.0 | P:   0.2   0.1   0.0 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.2  -0.2 | G:    0.4    1.3   -0.3 | P:  -0.0  -0.5   0.5 | M: 1100 1100 1100 1100 | V: 11911 | T: 689 us
A:  -0.2  -0.1 | G:   -0.1    3.4   -0.2 | P:   0.3  -2.0   0.4 | M: 1099 1101 1101 1099 | V: 11911 | T: 689 us
A:  -0.2  -0.3 | G:   -0.5    4.3    0.2 | P:   0.6  -2.2  -0.3 | M: 1098 1102 1102 1098 | V: 11911 | T: 689 us
A:  -0.4  -0.4 | G:   -0.0    4.5    1.4 | P:   0.5  -2.3  -2.8 | M: 1096 1104 1100 1100 | V: 11911 | T: 689 us
A:  -0.1  -0.6 | G:   -0.2   10.6    0.7 | P:   0.3  -5.6  -1.3 | M: 1094 1106 1104 1096 | V: 11911 | T: 689 us
A:   0.1  -1.1 | G:    0.1   14.5   -0.2 | P:  -0.2  -7.3   0.4 | M: 1093 1107 1107 1093 | V: 11911 | T: 689 us
A:  -0.2  -2.6 | G:   -0.4   11.8   -0.3 | P:   0.5  -4.0   0.6 | M: 1097 1103 1103 1097 | V: 11911 | T: 689 us
